,model,n_params,val_acc,val_loss,perplex,dists_mean,dists_std,sims_mean,sims_std,norms_mean,norms_std,norms_scl_mean,norms_scl_std,norms_log_mean,norms_log_std,norms_logscl_mean,norms_logscl_std,misses,matches,matches_mean,matches_std,cdnv_mean,cdnv_std,interfere_mean,interfere_std,log_dist_mean,log_dist_std
136,04x0768_10L@9,68514048,0.6540412337850356,1.2793231010437012,3.5942059876831047,-0.3803689181804657,0.5235803723335266,0.3598350584506988,0.2114777266979217,1808.2646484375,956.3511962890624,65.25012969970703,34.50935363769531,7.374354362487793,0.4947767853736877,4.052459716796875,0.4947767853736877,3344359,1369832,46.85909652709961,881.0237426757812,0.0003442050074227,0.0039698900654911,0.0008214504341594,0.1360018253326416,-0.3212961852550506,0.0878887921571731
137,04x0768_10d@5,68514048,0.6386141480675256,1.3550232648849487,3.876851150079975,-0.3796119093894958,0.5952039361000061,0.3204697370529175,0.1866217255592346,1078.490966796875,562.8964233398438,38.916690826416016,20.31177520751953,6.857240676879883,0.498867392539978,3.535346031188965,0.498867392539978,3541833,1172358,40.10392379760742,720.12939453125,0.0005780366482213,0.0082374969497323,0.0014928122982382,0.1611689031124115,-0.2773196697235107,0.1206035837531089
138,04x0768_10d@9,68514048,0.6476134758490285,1.3103172779083252,3.7073497858147193,-0.4054039120674133,0.6035262942314148,0.3180096447467804,0.1809927821159362,1159.7381591796875,604.9188842773438,41.84844207763672,21.828128814697266,6.9304280281066895,0.4974904060363769,3.608533382415772,0.4974904060363769,3515577,1198614,41.0020866394043,744.4730834960938,0.0005364897078834,0.0075459722429513,0.0013718914706259,0.1583181172609329,-0.2923581600189209,0.1145216971635818
139,04x1024_01L@0,103934976,0.5648279330649408,1.7871907949447632,5.972650477402234,0.0338292755186557,0.6347605586051941,0.2298767417669296,0.2154764533042907,780.48779296875,427.723388671875,24.39024353027344,13.366355895996094,6.520919322967529,0.5246840715408325,3.055183887481689,0.5246840715408325,3724619,989572,33.8511962890625,562.6511840820312,0.0009867063490673,0.0123550156131386,0.0010943989036604,0.1711526364088058,-0.2906569540500641,0.1140353679656982
140,04x1024_01d@0,103934976,0.563419646980288,1.795616626739502,6.023187635501759,0.0308387577533721,0.6382704377174377,0.2233317196369171,0.2098461240530014,758.6953125,415.5401611328125,23.709228515625,12.98563003540039,6.492220878601074,0.5259419083595276,3.026484489440918,0.5259419083595276,3749018,965173,33.01655578613281,543.6697387695312,0.0010294048115611,0.0120599260553717,0.0011340563651174,0.1731725484132766,-0.2878890037536621,0.1165382266044616
141,04x1024_03d@2,103934976,0.6187027773930098,1.4660552740097046,4.332112394639027,0.0444045774638652,0.6028300523757935,0.2871512770652771,0.2020122855901718,986.173828125,527.625,30.81793212890625,16.48828125,6.761975765228272,0.5096113085746765,3.2962400913238525,0.5096113085746765,3604358,1109833,37.96507263183594,649.7207641601562,0.000685628503561,0.0088984314352273,0.0011904092971235,0.1579516530036926,-0.2773341834545135,0.1111642196774482
142,04x1024_10L@5,103934976,0.6498721639390095,1.2944921255111694,3.6491421972100335,0.0598067194223403,0.4848133325576782,0.3491450846195221,0.1956747770309448,1707.974365234375,927.3552856445312,53.37419891357422,28.9798526763916,7.309767246246338,0.5101410150527954,3.844031572341919,0.5101410150527954,3379218,1334973,45.66664505004883,859.8820190429688,0.0003848070045933,0.0042031342163681,0.0009625233942642,0.1382548809051513,-0.3126062750816345,0.0925448685884475
143,04x1024_10L@9,103934976,0.6619623392185507,1.2383899688720703,3.4500542959366154,0.0573390275239944,0.4661049544811249,0.3537431955337524,0.1964058578014373,1949.5648193359373,1080.4146728515625,60.92390060424805,33.76295852661133,7.438215732574463,0.5161222815513611,3.972480297088623,0.5161222815513611,3301848,1412343,48.31330871582031,930.8555908203124,0.0003446117334533,0.0032215516548603,0.0008010749006643,0.1272119432687759,-0.3236452639102936,0.0823641493916511
144,04x1024_10d@5,103934976,0.644726690892553,1.3204166889190674,3.7449815444977927,0.0567937158048152,0.5587908625602722,0.3088289201259613,0.1689561307430267,1186.501953125,638.2018432617188,37.07818603515625,19.94380760192871,6.94496488571167,0.5141779780387878,3.4792287349700928,0.5141779780387878,3536851,1177340,40.27434921264648,731.6387939453125,0.000552971905563,0.0074714045040309,0.0014831327134743,0.1556573659181594,-0.2806616425514221,0.1176910325884819
145,04x1024_10d@9,103934976,0.6542028716817829,1.2757874727249146,3.581520649744122,0.0442246794700622,0.5580503344535828,0.307397723197937,0.1642864346504211,1275.01123046875,690.1848754882812,39.84410095214844,21.56827735900879,7.016201019287109,0.5147360563278198,3.5504653453826904,0.5147360563278198,3509755,1204436,41.20124435424805,761.9295654296875,0.0005187108181416,0.0066933995112776,0.0012994217686355,0.1508609354496002,-0.2971387207508087,0.10970039665699
146,08x0064_01L@0,3745984,0.3248242930304157,3.500833034515381,33.14304976653363,0.0324424244463443,0.267005980014801,0.1558030992746353,0.3006105422973633,83.20989227294922,39.704620361328125,10.401236534118652,4.963077545166016,4.292787551879883,0.5301158428192139,2.213346004486084,0.5301158428192139,4374221,339970,11.62966537475586,343.436279296875,0.0335735753178596,3.1593542098999023,0.0035211578942835,0.3127117455005646,-0.1688242256641388,0.2608543634414673
147,08x0064_01d@0,3745984,0.3258166054726519,3.489196300506592,32.75960824259406,0.0317088142037391,0.2682378888130188,0.1552514880895614,0.2980286777019501,82.41210174560547,39.45314407348633,10.301512718200684,4.931643009185791,4.282806873321533,0.5303560495376587,2.203365087509156,0.5303560495376587,4374689,339502,11.613656044006348,348.3248596191406,0.0328256376087665,2.8143017292022705,0.0034916475415229,0.3107171356678009,-0.1754028648138046,0.2575264573097229
148,08x0064_03d@2,3745984,0.4372124802274639,2.6773600578308105,14.546640272259262,0.0228258669376373,0.2468220889568328,0.2294245511293411,0.3051699995994568,201.8358154296875,96.03187561035156,25.229476928710938,12.003984451293944,5.190576553344727,0.4948797821998596,3.111135721206665,0.4948797821998596,4151689,562502,19.242021560668945,440.7057495117188,0.0053649530746042,0.2049797475337982,0.0016084085218608,0.2505717873573303,-0.2385230213403701,0.1819721460342407
149,08x0064_10L@5,3745984,0.4881744484424958,2.302250623703003,9.996655866375749,0.014511982910335,0.224547192454338,0.3203434944152832,0.302565723657608,610.8709716796875,276.08447265625,76.35887145996094,34.51055908203125,6.311103820800781,0.4638650715351105,4.231662273406982,0.4638650715351105,3956653,757538,25.913795471191406,476.61566162109375,0.0010794771369546,0.0207463335245847,0.0015050548827275,0.2376077622175216,-0.2324752211570739,0.1733313053846359
150,08x0064_10L@9,3745984,0.4986183353799689,2.236361026763916,9.359211324757352,0.0081702312454581,0.2227528095245361,0.3300897181034088,0.2991686463356018,742.0326538085938,333.6826171875,92.75408172607422,41.7103271484375,6.506438255310059,0.4619286060333252,4.42699670791626,0.4619286060333252,3935223,778968,26.64687156677246,482.25286865234375,0.0008464747807011,0.0180350802838802,0.0016909393016248,0.2357449531555175,-0.2313715070486068,0.1748737245798111
151,08x0064_10d@5,3745984,0.4876439282590771,2.304339408874512,10.017558555928192,0.0100046461448073,0.2311513721942901,0.2887259125709533,0.2869727909564972,371.2982177734375,179.50149536132812,46.41227722167969,22.437686920166016,5.8008575439453125,0.4886362850666046,3.7214162349700928,0.4886362850666046,4032702,681489,23.312318801879883,408.2213745117188,0.0018505353946238,0.0349364876747131,0.0026365902740508,0.2445074021816253,-0.1635164469480514,0.1968689858913421
152,08x0064_10d@9,3745984,0.496226433905267,2.2488296031951904,9.476637916402655,0.0034761703573167,0.2307810485363006,0.294388860464096,0.2822974920272827,401.0608520507813,196.5796356201172,50.132606506347656,24.57245445251465,5.875921249389648,0.4918335378170013,3.796480178833008,0.4918335378170013,4022250,691941,23.66985893249512,415.58831787109375,0.0016371984966099,0.0281609576195478,0.002910055918619,0.2422935366630554,-0.1469879299402237,0.2012123465538025
153,08x0128_01L@0,8278400,0.4403219945692212,2.7179458141326904,15.14917104766572,-0.0920488014817237,0.347240000963211,0.1985373497009277,0.3013425171375274,148.29434204101562,70.03800964355469,13.107494354248049,6.1905436515808105,4.884110450744629,0.4912814497947693,2.458095073699951,0.4912814497947693,4018497,695694,23.798242568969727,514.3946533203125,0.0077005405910313,0.2283140867948532,0.0013969310093671,0.2481188923120498,-0.2321101576089859,0.1818737685680389
154,08x0128_01d@0,8278400,0.4402114783694766,2.713606357574463,15.083574308049194,-0.0923904925584793,0.3507894277572632,0.1972116231918335,0.298529714345932,146.72108459472656,69.7481689453125,12.968433380126951,6.1649250984191895,4.87238073348999,0.4931086897850036,2.44636607170105,0.4931086897850036,4029815,684376,23.411075592041016,508.5186767578125,0.0079207075759768,0.2440646886825561,0.0014147036708891,0.2479270547628402,-0.2358005493879318,0.1806595474481582
155,08x0128_03d@2,8278400,0.5156111026143976,2.1215269565582275,8.343868490082182,-0.1053835228085517,0.3103789985179901,0.2802197337150574,0.3018757700920105,328.04278564453125,159.0928497314453,28.99515724182129,14.061954498291016,5.677734375,0.4850493669509887,3.2517192363739014,0.4850493669509887,3840241,873950,29.8960075378418,538.6849365234375,0.0021523043978959,0.0358109176158905,0.0011705849319696,0.2067286819219589,-0.2540098130702972,0.146448329091072
156,08x0128_10L@5,8278400,0.5527767884586299,1.8620073795318604,6.436644600263442,-0.1236411035060882,0.2609457373619079,0.3525295853614807,0.283419668674469,848.6749267578125,388.6123962402344,75.01296997070312,34.34880828857422,6.641127586364746,0.4559909403324127,4.215112209320068,0.4559909403324127,3716519,997672,34.12828063964844,580.75927734375,0.0006463990430347,0.0095379455015063,0.0011308406246826,0.1934629529714584,-0.2634858787059784,0.1369893997907638
157,08x0128_10L@9,8278400,0.564065137951157,1.7993733882904053,6.045857871898344,-0.1271467953920364,0.2564019560813904,0.3592467308044433,0.2793346047401428,1021.806396484375,462.6730346679688,90.31578063964844,40.8949089050293,6.828965187072754,0.4510813653469085,4.402949810028076,0.4510813653469085,3691591,1022600,34.981014251708984,588.21533203125,0.0005165661568753,0.0071690152399241,0.0011065613944083,0.1907620877027511,-0.2716962695121765,0.1346926242113113
158,08x0128_10d@5,8278400,0.5515471101286507,1.8713176250457764,6.496851175883096,-0.1224028021097183,0.2816130220890045,0.322600245475769,0.2679068744182586,519.5198364257812,246.48912048339844,45.91950607299805,21.786766052246094,6.142500877380371,0.4737194776535034,3.716486215591431,0.4737194776535034,3805116,909075,31.09756088256836,542.619140625,0.0010994747281074,0.017079809680581,0.0017498955130577,0.2011267840862274,-0.2078615725040435,0.1571845412254333
159,08x0128_10d@9,8278400,0.5602511623822372,1.820604920387268,6.175593062344945,-0.1243361681699752,0.2806201875209808,0.3246684372425079,0.2615055739879608,563.8269653320312,265.8384704589844,49.83573532104492,23.49702453613281,6.225855827331543,0.4703015685081482,3.799840450286865,0.4703015685081482,3800214,913977,31.265247344970703,541.9785766601562,0.0009762954432517,0.0146278133615851,0.0018191486597061,0.1992395371198654,-0.2050796449184417,0.1581959724426269
160,08x0256_01L@0,19702528,0.5266355708161716,2.09570860862732,8.131200768265177,-0.0892048403620719,0.4472210705280304,0.2450697869062423,0.3002574145793915,281.68084716796875,134.84927368164062,17.605052947998047,8.428079605102539,5.529177665710449,0.4768930971622467,2.756588697433472,0.4768930971622467,3598961,1115230,38.14969253540039,698.8818969726562,0.0025126251857727,0.0399419553577899,0.0008041839464567,0.1991261690855026,-0.2689682245254516,0.137690469622612
161,08x0256_01d@0,19702528,0.5260361105849277,2.096283435821533,8.135876147227135,-0.0895742923021316,0.4523287117481231,0.2424458265304565,0.2966386675834656,277.2207946777344,133.42782592773438,17.3262996673584,8.339239120483398,5.5122175216674805,0.4788191020488739,2.739628791809082,0.4788191020488739,3625630,1088561,37.237403869628906,675.7191772460938,0.0025806636549532,0.0411082319915294,0.0008150693029165,0.1993729174137115,-0.269604355096817,0.1376539021730423
162,08x0256_03d@2,19702528,0.5813408775665054,1.7012336254119873,5.48070435926003,-0.0865472853183746,0.40533447265625,0.3201395273208618,0.283015489578247,510.2654724121094,242.40802001953125,31.89159202575684,15.150501251220703,6.127560615539551,0.4634618759155273,3.3549718856811523,0.4634618759155273,3564692,1149499,39.321964263916016,669.1641235351562,0.0011290506226941,0.0170145016163587,0.0009506863425485,0.1814176589250564,-0.2744023203849792,0.1246520653367042
163,08x0256_10L@5,19702528,0.6114681027126105,1.5099613666534424,4.526555914932812,-0.0965460985898971,0.3385644257068634,0.3680604696273803,0.2610301971435547,1164.8909912109375,532.9166259765625,72.8056869506836,33.30728912353516,6.961418151855469,0.4438304007053375,4.188828945159912,0.4438304007053375,3455075,1259116,43.07173538208008,731.78955078125,0.000433077890193,0.0082975625991821,0.0008450843160971,0.1654238849878311,-0.3003478944301605,0.1113965138792991
164,08x0256_10L@9,19702528,0.623038151846713,1.4519144296646118,4.271283765292628,-0.1036132052540779,0.3335735201835632,0.3720364868640899,0.2585567235946655,1374.36865234375,625.7981567382812,85.89804077148438,39.11238479614258,7.128152370452881,0.4402984380722046,4.355563640594482,0.4402984380722046,3417189,1297002,44.36773681640625,754.1054077148438,0.0003584448713809,0.0069509739987552,0.0007597932126373,0.1601691395044326,-0.308233767747879,0.1061725988984108
165,08x0256_10d@5,19702528,0.6095558118475487,1.521480917930603,4.579001301606782,-0.1165708899497985,0.3764324784278869,0.3364205658435821,0.241665780544281,742.3881225585938,342.61834716796875,46.39925765991211,21.413646697998047,6.507527828216553,0.4531089961528778,3.734938383102417,0.4531089961528778,3570923,1143268,39.10881423950195,649.0906372070312,0.000692720990628,0.0130404559895396,0.0013332146918401,0.1772478371858596,-0.2584401369094848,0.1320724189281463
166,08x0256_10d@9,19702528,0.6186682013074851,1.4747979640960691,4.370152755969829,-0.1374513655900955,0.3805106580257416,0.33436119556427,0.2350894957780838,808.2183837890625,369.5892639160156,50.513648986816406,23.099328994750977,6.594295501708984,0.4491502046585083,3.821707010269165,0.4491502046585083,3564882,1149309,39.31546401977539,650.0169067382812,0.0006209511193446,0.0119626335799694,0.0013049707049503,0.1757246702909469,-0.2639670372009277,0.1303583830595016
167,08x0512_01L@0,51987968,0.596832236620911,1.6132683753967283,5.019189042809514,0.245987981557846,0.5120113492012024,0.2662375271320343,0.2651353180408478,679.8005981445312,323.2909545898437,30.04322624206543,14.28757667541504,6.416412830352783,0.4570236206054687,3.297250509262085,0.4570236206054687,3459210,1254981,42.93028259277344,733.7805786132812,0.0008366290130652,0.0136002963408827,0.0006610206910409,0.1720637083053589,-0.2990889847278595,0.1143070459365844
168,08x0512_01d@0,51987968,0.5945126691656196,1.6251710653305054,5.079287852921128,0.2452980875968933,0.5227753520011902,0.2567697465419769,0.256583422422409,631.9749145507812,301.0382995605469,27.92961311340332,13.304139137268066,6.342747211456299,0.4589331746101379,3.223584651947021,0.4589331746101379,3506951,1207240,41.29716491699219,697.121337890625,0.0009115154971368,0.0146843185648322,0.0007269078632816,0.1753268539905548,-0.2938549220561981,0.1176780983805656
169,08x0512_03d@2,51987968,0.6339928315077655,1.390622854232788,4.017351498280742,0.3202687799930572,0.499345451593399,0.2767528891563415,0.2359401583671569,895.6517333984375,416.3842468261719,39.58259201049805,18.401758193969727,6.696064472198486,0.4486734271049499,3.576902151107788,0.4486734271049499,3464565,1249626,42.747100830078125,732.2225341796875,0.0005777783808298,0.0102890115231275,0.0008843145915307,0.16325144469738,-0.3028696775436401,0.1108005493879318
170,08x0512_10L@5,51987968,0.6542393568763243,1.275557041168213,3.5806954494451886,0.6792991757392883,0.619906485080719,0.3051192760467529,0.2426665425300598,2355.9970703125,1108.33349609375,104.12134552001952,48.98188400268555,7.663857936859131,0.44425830245018,4.544695854187012,0.44425830245018,3264986,1449205,49.57428359985352,899.0961303710938,0.0002138154959538,0.0037974128499627,0.0005725696682929,0.1428902745246887,-0.3282408416271209,0.09056156873703
171,08x0512_10L@9,51987968,0.668017184526629,1.2141300439834597,3.36736333171191,0.720596969127655,0.6475663781166077,0.3050426840782165,0.2448963373899459,2844.406494140625,1348.6236572265625,125.7061996459961,59.6013069152832,7.851383209228516,0.4455428123474121,4.7322211265563965,0.4455428123474121,3206899,1507292,51.561317443847656,948.150634765625,0.0001766243658494,0.0030344603583216,0.0005072791245765,0.1323114782571792,-0.3296941816806793,0.0824474096298217
172,08x0512_10d@5,51987968,0.652194913242662,1.2877405881881714,3.624587860501157,0.611588180065155,0.7200444936752319,0.2561615705490112,0.2008049935102462,1223.329833984375,545.6289672851562,54.06404495239258,24.11362075805664,7.015354156494141,0.4322430491447449,3.8961915969848633,0.4322430491447449,3471519,1242672,42.509220123291016,741.4031982421875,0.0003939100715797,0.0076795644126832,0.0011061420664191,0.1782492995262146,-0.3121754825115204,0.120239682495594
173,08x0512_10d@9,51987968,0.6608334194200084,1.2486300468444824,3.4855646249066288,0.7550501227378845,0.8544890284538269,0.2511700987815857,0.1966051012277603,1335.162841796875,596.5423583984375,59.00642395019531,26.36369705200196,7.103580474853516,0.4294687509536743,3.984418869018554,0.4294687509536743,3459806,1254385,42.90989685058594,753.4974975585938,0.000357674609404,0.0063648070208728,0.0009065669728443,0.1701795756816864,-0.3161752820014953,0.1122233122587204
